point_number,point_type,x,y,yaw
94,map->robot,-2.9194384870100443,10.05156483427028,89.39892072463297
95,map->robot,-2.922076862308275,10.052687595666118,89.38657663900467
96,map->robot,-2.9229838584514365,10.053157462120513,89.38648855589724
97,map->robot,-2.9234307238636585,10.052829555834055,89.38396683361493
98,map->robot,-2.9240168796418526,10.052552137194677,89.38465905889647
99,map->robot,-2.924191633792267,10.052639460590516,89.38714976008029
100,map->robot,-2.9244653393474866,10.052387439778727,89.38811158183937
101,map->robot,-2.924658433243298,10.061328864770378,89.48324259526468
102,map->robot,-2.9201802288510113,10.050250546914121,89.3915164349333
103,map->robot,-2.922126938452166,10.061693719573942,89.48639287394268
104,map->robot,-2.9182678632199277,10.05121027154105,89.39227837951802
105,map->robot,-2.9182678632199277,10.05121027154105,89.39227837951802
106,map->robot,-2.9216687897200746,10.05379009893727,89.3888824667013
107,map->robot,-2.923097534685679,10.05326317504833,89.38852741538392
108,map->robot,-2.9251957544586613,10.051588040345921,89.38510537563567
109,map->robot,-2.9258306945492443,10.05133696237734,89.38503009979803
110,map->robot,-2.924484601662785,10.052175933910654,89.38902206192222
111,map->robot,-2.923861840073638,10.052574851659855,89.3886827002997
112,map->robot,-2.9234868909910254,10.052607954756276,89.389454421958
point_number,point_type,x,y,yaw
1,map->robot,-2.9166548478434304,10.06430261327508,89.46506434722056
2,map->robot,-2.8909813799631365,13.856496224583395,89.73546738130051
3,map->robot,-2.66186760094779,13.89441308800546,-84.9101526809782
4,map->robot,-2.179032861746734,5.692276860676866,-88.75029979243129
5,map->robot,-1.8092645747131328,5.929959770917799,85.32239829696128
6,map->robot,-1.0611506211154946,13.693243362385319,83.52093798896456
7,map->robot,-2.764784297095341,13.539163454927895,-80.90371304834069
8,map->robot,-1.6535375441422655,5.43779983622945,-83.21623242821347
9,map->robot,-1.2932834522005017,5.91398399913455,87.11050648058924
10,map->robot,-0.7571643732226896,13.357338018072983,84.91035064235444
11,map->robot,-2.0048974758170264,14.110352251003889,-87.33077891540431
12,map->robot,-1.8602540036307698,6.035464385843962,-90.68232435503577
13,map->robot,-1.3124930550638965,6.287549108448118,95.19414020526926
14,map->robot,-2.010290543187068,13.97681360312798,94.75846435008809
15,map->robot,-1.6668203896425613,13.910536588876202,-87.67857084375457
16,map->robot,-1.413787656656888,5.379109694657171,-90.58768387116515
17,map->robot,-0.6732411402569163,5.985795491062985,91.67646027773007
18,map->robot,-0.7847534761661628,13.79467587775617,89.31146380501832
19,map->robot,-3.7795237603008935,13.87188568840391,-90.41569735253866
20,map->robot,-3.95808400118222,6.888192755160354,-92.80987805907397
21,map->robot,-4.183185251652326,6.587687099333422,88.35271202961208
22,map->robot,-3.870749524949531,13.629091144769859,84.97823780950074
23,map->robot,-4.017971225512904,13.716869895832922,-89.86460063129459
24,map->robot,-4.075309032601535,6.992555457096546,-91.69069514408145
25,map->robot,-4.154660167290315,6.815311134265803,86.39366619806516
26,map->robot,-3.418835829251707,14.305729060481177,83.66640323473536
27,map->robot,-4.3294520275514685,13.769462040152828,-86.39655263877863
28,map->robot,-3.9244420807078235,6.832009802456893,-87.22552246541906
29,map->robot,-4.343934467611611,6.823566389398289,84.88522242221921
30,map->robot,-3.473439080566955,13.901097145623766,81.95081614412771
31,map->robot,-4.7651678767787224,13.684158279545137,-90.0298720602651
32,map->robot,-4.887436033778641,6.995678703303625,-91.26373292740682
33,map->robot,-4.236168281063625,7.301104554310735,90.53232245467595
34,map->robot,-4.234577366152704,13.792843509066369,89.60354615535522
35,map->robot,-4.384202120187071,13.445882729802111,-93.0849534677203
36,map->robot,-4.7131185481962845,6.660609033910621,-93.9210920625002
37,map->robot,-5.250756210803463,7.711712128773113,82.43942463775575
38,map->robot,-4.294283605258752,13.872930728595485,80.32042588325358
39,map->robot,-5.433877166128513,13.357622184621775,-85.7159994125507
40,map->robot,-4.9203673382409825,6.9909349425429825,-85.97834342954282
41,map->robot,-3.5699156658342446,6.621806018209591,85.73506196798922
42,map->robot,-2.8899065595030358,13.282607874626446,83.67212292602163
